Region,State,City,sales,profit,quantity,rows,orders,loss_rows,margin,sales_weighted_discount,loss_row_share
Central,Illinois,Arlington Heights,14.112,1.2348,6,1,1,0,0.0875,0.2,0.0
Central,Illinois,Aurora,7572.968,-1894.7196000000001,128,34,20,21,-0.25019511504604275,0.3381526239117873,0.6176470588235294
Central,Illinois,Bloomington,963.94,-432.1283,27,8,6,4,-0.4482937734713779,0.41270659999585035,0.5
Central,Illinois,Bolingbrook,218.308,-4.660999999999998,23,6,3,2,-0.021350568920974027,0.2432819685948293,0.3333333333333333
Central,Illinois,Buffalo Grove,831.399,-89.6478,10,2,2,1,-0.10782764954011251,0.32826152064171354,0.5
Central,Illinois,Carol Stream,1305.81,-39.8683,18,5,1,2,-0.03053147088780144,0.26054004793959307,0.4
Central,Illinois,Champaign,151.96,-182.352,5,1,1,1,-1.2,0.6,1.0
Central,Illinois,Chicago,48539.541,-6654.5688,1132,314,171,155,-0.13709583285923532,0.2996849619983016,0.49363057324840764
Central,Illinois,Danville,43.372,-69.3952,7,1,1,1,-1.6,0.8,1.0
Central,Illinois,Decatur,3169.473,-311.0325,77,22,9,9,-0.09813382224742095,0.2971661534898704,0.4090909090909091
Central,Illinois,Des Plaines,1493.212,-236.7674,24,6,2,5,-0.15856248141590076,0.2905393206055135,0.8333333333333334
Central,Illinois,Elmhurst,891.6279999999999,-212.13209999999998,14,4,2,2,-0.2379154759608267,0.27111889711852927,0.5
Central,Illinois,Evanston,1753.799,411.88379999999995,11,4,3,2,0.23485234054757698,0.21472683015556515,0.5
Central,Illinois,Frankfort,97.632,-26.055999999999997,10,2,2,1,-0.26687971156997703,0.32763028515240905,0.5
Central,Illinois,Freeport,215.82,-127.44979999999998,12,4,2,2,-0.5905374849411547,0.4884848484848486,0.5
Central,Illinois,Glenview,158.376,13.8579,3,1,1,0,0.08750000000000001,0.2,0.0
Central,Illinois,Highland Park,2035.096,-169.9406,28,7,3,5,-0.08350495504880359,0.29209039770114037,0.7142857142857143
Central,Illinois,Naperville,1288.3029999999999,-146.5324,33,8,5,5,-0.11374063399681597,0.2533007374817881,0.625
Central,Illinois,Normal,366.744,-110.0232,4,1,1,1,-0.3,0.3,1.0
Central,Illinois,Oak Park,10.192,1.0192,7,1,1,0,0.1,0.2,0.0
Central,Illinois,Orland Park,339.96,67.992,5,1,1,0,0.20000000000000004,0.20000000000000004,0.0
Central,Illinois,Oswego,321.978,-536.1275999999999,13,3,1,2,-1.665106311611352,0.7754765853567636,0.6666666666666666
Central,Illinois,Palatine,116.312,23.2624,7,1,1,0,0.2,0.2,0.0
