Discount,sales,profit,quantity,rows,orders,loss_rows,margin,sales_weighted_discount,loss_row_share
0.0,1087908.47,320987.6032,18267,4798,2644,0,0.2950501922280282,0.0,0.0
0.1,54369.351,9029.177,373,94,89,4,0.1660710829525995,0.1,0.0425531914893617
0.15,27558.5215,1418.9915,198,52,51,17,0.0514901171312837,0.15,0.3269230769230769
0.2,764594.368,90337.306,13660,3657,2407,502,0.1181506296420954,0.2,0.13727098714793545
0.3,103226.655,-10369.277399999999,849,227,211,208,-0.10045154906937553,0.3,0.9162995594713657
0.32,14493.4588,-2391.1376999999998,105,27,27,27,-0.1649804738120896,0.32000000000000006,1.0
0.4,116417.784,-23057.0504,786,206,185,180,-0.19805436598930623,0.4,0.8737864077669902
0.45,5484.974,-2493.1111,45,11,10,11,-0.45453471611715934,0.45,1.0
0.5,58918.54,-20506.4281,241,66,64,66,-0.3480471189544072,0.5,1.0
0.6,6644.7,-5944.6552,501,138,127,138,-0.8946461390280976,0.6,1.0
0.7,40620.282,-40075.3569,1660,418,344,418,-0.9865849011092538,0.7,1.0
0.8,16963.756,-30539.0392,1188,300,250,300,-1.8002522082963228,0.7999999999999999,1.0
