Region,State,policy,sales,profit,quantity,rows,orders,loss_rows,margin,sales_weighted_discount,loss_row_share
Central,Illinois,3 Never sells at full price,80166.101,-12607.887,1845,492,276,255,-0.1572720494414466,0.3083321876911539,0.5182926829268293
Central,Indiana,1 Never discounts,53555.36,18382.9363,578,149,73,0,0.3432511012903284,0.0,0.0
Central,Iowa,1 Never discounts,4579.76,1183.8119,112,30,17,0,0.25848775918388733,0.0,0.0
Central,Kansas,1 Never discounts,2914.31,836.4435,74,24,14,0,0.28701253469946575,0.0,0.0
Central,Michigan,2 Mixed,76269.614,24463.1876,946,255,117,0,0.3207461834014264,0.010141789887647785,0.0
Central,Minnesota,1 Never discounts,29863.15,10823.1874,331,89,44,0,0.36242618076123917,0.0,0.0
Central,Missouri,1 Never discounts,22205.15,6436.2105,252,66,30,0,0.28985215141532483,0.0,0.0
Central,Nebraska,1 Never discounts,7464.93,2037.0942000000002,136,38,23,0,0.27288858703296615,0.0,0.0
Central,North Dakota,1 Never discounts,919.91,230.1497,30,7,2,0,0.25018719222532637,0.0,0.0
Central,Oklahoma,1 Never discounts,19683.39,4853.956,247,66,34,0,0.24660162705712788,0.0,0.0
Central,South Dakota,1 Never discounts,1315.56,394.8283,42,12,5,0,0.30012184925050933,0.0,0.0
Central,Texas,3 Never sells at full price,170188.0458,-25729.3563,3724,985,487,486,-0.15118192455324614,0.30728576305210736,0.4934010152284264
Central,Wisconsin,1 Never discounts,32114.61,8401.8004,463,110,53,0,0.2616192567806366,0.0,0.0
East,Connecticut,2 Mixed,13384.357,3511.4918,281,82,45,2,0.2623579003459038,0.0056563867804781355,0.024390243902439025
East,Delaware,2 Mixed,27451.069,9977.3748,367,96,44,2,0.3634603373733824,0.005576602499523789,0.020833333333333332
East,District of Columbia,1 Never discounts,2865.02,1059.5892999999999,40,10,4,0,0.369836615451201,0.0,0.0
East,Maine,1 Never discounts,1270.53,454.4862,35,8,3,0,0.35771386744114664,0.0,0.0
East,Maryland,2 Mixed,23705.523,7031.1788,420,105,46,2,0.2966050907208417,0.00999517707329216,0.01904761904761905
East,Massachusetts,2 Mixed,28634.434,6785.5016000000005,491,135,62,5,0.23696999214302614,0.041551413239039395,0.037037037037037035
East,New Hampshire,2 Mixed,7292.524,1706.5028,127,27,17,1,0.2340071558214961,0.043325081960649006,0.037037037037037035
East,New Jersey,2 Mixed,35764.312,9772.9138,454,130,61,2,0.2732588229294052,0.003508737984390696,0.015384615384615385
East,New York,2 Mixed,310876.271,74038.5486,4224,1128,562,47,0.23816082315269405,0.07932998881088613,0.041666666666666664
East,Ohio,3 Never sells at full price,78258.136,-16971.3766,1759,469,236,209,-0.2168640535982099,0.3579125702661765,0.44562899786780386
East,Pennsylvania,3 Never sells at full price,116511.914,-15559.9603,2153,587,288,278,-0.13354823353086448,0.33568074248612895,0.4735945485519591
East,Rhode Island,2 Mixed,22627.956,7285.6293000000005,199,56,25,4,0.3219746980239842,0.023310713526223933,0.07142857142857142
East,Vermont,1 Never discounts,8929.369999999999,2244.9782999999998,50,11,6,0,0.25141508303497334,0.0,0.0
