Category,Sub-Category,sales,profit,quantity,rows,orders,loss_rows,margin,sales_weighted_discount,loss_row_share
Furniture,Bookcases,114879.9963,-3472.556,868,228,224,109,-0.030227682032054524,0.18106364650883958,0.4780701754385965
Furniture,Chairs,328449.103,26590.1663,2356,617,576,235,0.08095673289142763,0.1516667259706293,0.38087520259319285
Furniture,Furnishings,91705.164,13059.1436,3563,957,877,167,0.14240357936658832,0.09496687449356724,0.17450365726227796
Furniture,Tables,206965.532,-17725.4811,1241,319,307,203,-0.08564460433923848,0.2135244292754989,0.6363636363636364
Office Supplies,Appliances,107532.16100000001,18138.005400000002,1729,466,451,67,0.16867516872463859,0.06965636727043921,0.14377682403433475
Office Supplies,Art,27118.792,6527.787,3000,796,731,0,0.24071083254740847,0.06714275473627292,0.0
Office Supplies,Binders,203412.733,30221.7633,5974,1523,1316,613,0.1485736062550224,0.2150557571044483,0.4024950755088641
Office Supplies,Envelopes,16476.402,6964.1767,906,254,249,0,0.42267581842200747,0.07125283784651529,0.0
Office Supplies,Fasteners,3024.28,949.5182,914,217,215,12,0.3139650429193064,0.07945296070469665,0.055299539170506916
Office Supplies,Labels,12486.312,5546.254,1400,364,346,0,0.4441867222283089,0.052004979532787585,0.0
Office Supplies,Paper,78479.206,34053.5693,5178,1370,1191,0,0.43391837195702515,0.06453005143808412,0.0
Office Supplies,Storage,223843.608,21278.8264,3158,846,777,161,0.09506113035847778,0.0589606722207587,0.19030732860520094
Office Supplies,Supplies,46673.538,-1189.0995,647,190,187,33,-0.025476952272184723,0.06476615507485205,0.1736842105263158
Technology,Accessories,167380.318,41936.6357,2976,775,718,91,0.2505469950176579,0.05856125569076765,0.11741935483870967
Technology,Copiers,149528.03,55617.8249,234,68,68,0,0.3719558460042575,0.12037696477376182,0.0
Technology,Machines,189238.631,3384.7569,440,115,112,44,0.01788618360909618,0.24712703348609621,0.3826086956521739
Technology,Phones,330007.054,44515.7306,3289,889,814,136,0.1348932698874976,0.14573306423928745,0.1529808773903262
